"id_perusahaan","nama_perusahaan","kategori_bidang","spesialisasi_bidang","kota_sumsel","deskripsi_singkat","prediksi_skill_dibutuhkan","sumber_data"
"PSM001","Yayasan Layanan Sekayu Holding","Layanan Publik","Pengelolaan Sumber Daya Air","Sekayu (Muba)","Sebagai pemain di industri Layanan Publik, Yayasan Layanan Sekayu Holding yang berbasis di Sekayu (Muba) mengkhususkan diri dalam Pengelolaan Sumber Daya Air. Dedikasi pada kualitas adalah prioritas utama.","Manajemen Rantai Pasok Pelabuhan;Visual Merchandising;Layanan Pelanggan Digital;Operasi Pembangkit Listrik (PLTU;Layanan Pelanggan Platform;Air)","Data Generasi Otomatis"
"PSM002","UD Material Palembang Syariah","Material Konstruksi","Semen","Palembang; lokasi proyek","UD Material Palembang Syariah menyediakan solusi Material Konstruksi dengan spesialisasi Semen untuk pasar di Palembang dan  lokasi proyek dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Teknik Kimia (Proses Semen);Geosains;GIS untuk Sumber Daya Air;Sales & Marketing Pakan/DOC","Data Generasi Otomatis"
"PSM003","Yayasan Logistik","Logistik & Transportasi","Layanan Kepelabuhanan","Palembang; lokasi proyek","Yayasan Logistik menyediakan solusi Logistik & Transportasi dengan spesialisasi Layanan Kepelabuhanan untuk pasar di Palembang dan  lokasi proyek dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Proses Produksi Pupuk;Manajemen Rantai Pasok Pelabuhan;Analisis Ekonomi Migas;Operasional Terminal Peti Kemas/Curah;Teknik Sarana Kereta Api (Lokomotif;Pemasaran & Sponsorship Olahraga;Literasi & Edukasi Keuangan;Manajemen Operasional Jalan Tol;Survei & Pemetaan Lahan Tol","Analisis Internal"
"PSM004","Yayasan Teknologi","Teknologi & Telekomunikasi","Layanan Komunikasi Seluler","Palembang; lokasi proyek","Yayasan Teknologi adalah perusahaan yang bergerak di bidang Teknologi & Telekomunikasi, dengan fokus pada Layanan Komunikasi Seluler. Berlokasi di Palembang dan  lokasi proyek, perusahaan ini berkomitmen untuk memberikan layanan terbaik.","Akuisisi & Manajemen Merchant/Driver;Manajemen Penelitian & Publikasi Ilmiah;Jembatan);Manajemen Klaim Asuransi;Operasi Pembangkit Listrik (PLTU;Metode Pelaksanaan Konstruksi;Flight Dispatch (Dasar)","Analisis Internal"
"PSM005","CV Agribisnis Utama Ogan Komering Ilir","Agribisnis","Peternakan Terpadu & Pakan","Ogan Komering Ilir (OKI)","Beroperasi di Ogan Komering Ilir (OKI), CV Agribisnis Utama Ogan Komering Ilir menawarkan keahlian dalam Peternakan Terpadu & Pakan di sektor Agribisnis. Mereka dikenal karena inovasi dan kualitas.","AI;Hukum Bisnis & Jaminan;Metode Pelaksanaan Konstruksi;Manajemen Operasional Jalan Tol;Supply Chain Management Energi;Pengolahan Limbah Industri Pulp & Kertas","Riset Tambahan"
"PSM006","CV Aryaduta Hotel Agribisnis","Agribisnis","Industri Pakan Ternak & Peternakan Terpadu","Palembang; Kayu Agung","Sebagai pemain di industri Agribisnis, CV Aryaduta Hotel Agribisnis yang berbasis di Palembang dan  Kayu Agung mengkhususkan diri dalam Industri Pakan Ternak & Peternakan Terpadu. Dedikasi pada kualitas adalah prioritas utama.","Operasional Alat Berat;Teknik Sipil;Pemasaran Digital;Safety Management System (SMS) Maskapai;Analisis Data Pelanggan Seluler (Customer Analytics);Pemasaran Produk Keuangan Syariah;Guest Relations;HSE Pelabuhan;Machine Learning","Transkripsi Gambar & Riset"
"PSM007","Perum Energi Sentosa Sekayu","Energi","Minyak & Gas Bumi (Hulu & Hilir)","Sekayu (Muba)","Beroperasi di Sekayu (Muba), Perum Energi Sentosa Sekayu menawarkan keahlian dalam Minyak & Gas Bumi (Hulu & Hilir) di sektor Energi. Mereka dikenal karena inovasi dan kualitas.","Akuntansi Perbankan;Keamanan Penerbangan (AVSEC);Digitalisasi Konten Radio & Podcast;Manajemen Operasional Pembangkit Listrik Lokal (Diesel/Gas)","Transkripsi Gambar & Riset"
"PSM008","Perum Agribisnis Jaya","Agribisnis","Perkebunan Komoditas Ekspor","Sekayu (Muba);Muara Enim","Beroperasi di Sekayu (Muba) dan Muara Enim, Perum Agribisnis Jaya menawarkan keahlian dalam Perkebunan Komoditas Ekspor di sektor Agribisnis. Mereka dikenal karena inovasi dan kualitas.","Manajemen Operasional Hotel;Operasi Lapangan Migas;Desain Grafis;PLTG;Teknik Prasarana Kereta Api (Rel;Analisis Pembiayaan Syariah (Murabahah;Teknik Sipil;Manajemen Risiko Kredit","Data Generasi Otomatis"
"PSM009","PT Layanan Syariah","Layanan Publik","Pengelolaan Sumber Daya Air","Ogan Komering Ilir (OKI)","PT Layanan Syariah menyediakan solusi Layanan Publik dengan spesialisasi Pengelolaan Sumber Daya Air untuk pasar di Ogan Komering Ilir (OKI) dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Keamanan Penerbangan (AVSEC);Teknik Mesin Industri;Keamanan Informasi Pemerintah (Dasar);Manajemen Aset Jalan Tol;Pengembangan & Pengelolaan Aplikasi Pemerintahan (e-Government);GIS & Pemetaan Tambang","Data Generasi Otomatis"
"PSM010","CV Teknologi Agung Indralaya (Persero)","Teknologi & Telekomunikasi","Layanan Komunikasi Seluler","Indralaya;Lubuklinggau","CV Teknologi Agung Indralaya (Persero) menyediakan solusi Teknologi & Telekomunikasi dengan spesialisasi Layanan Komunikasi Seluler untuk pasar di Indralaya dan Lubuklinggau dan sekitarnya. Perusahaan mengutamakan kepuasan pelanggan.","Jembatan);Sistem Informasi Akademik;Machine Learning;Operasional Perbankan Modern","Data Generasi Otomatis"
